epoch,step,test_ik_loss,test_loss,test_move_loss,train_ik_loss_epoch,train_ik_loss_step,train_loss_epoch,train_loss_step,train_move_loss_epoch,train_move_loss_step,val_ik_loss,val_loss,val_move_loss
0,9,,,,,0.0034080427139997482,,0.0035066946875303984,,0.0009865203173831105,,,
0,19,,,,,0.002787226578220725,,0.002834630198776722,,0.00047403687494806945,,,
0,29,,,,,0.00292837992310524,,0.002951964270323515,,0.0002358440833631903,,,
0,39,,,,,0.0026501696556806564,,0.002667882014065981,,0.00017712365661282092,,,
0,49,,,,,0.00264064222574234,,0.0026569876354187727,,0.00016345515905413777,,,
0,54,,,,,,,,,,0.002492962870746851,0.0024942972231656313,1.3342857528186869e-05
0,54,,,,0.003510355483740568,,0.0036161686293780804,,0.0010581322712823749,,,,
1,59,,,,,0.0025957918260246515,,0.002610669704154134,,0.00014877824287395924,,,
1,69,,,,,0.002690523397177458,,0.002704728627577424,,0.0001420515909558162,,,
1,79,,,,,0.002362212399020791,,0.002373237395659089,,0.00011024953710148111,,,
1,89,,,,,0.0026180383283644915,,0.0026293403934687376,,0.00011301961785648018,,,
1,99,,,,,0.0026698510628193617,,0.00268005533143878,,0.00010204298450844362,,,
1,109,,,,,0.0025342940352857113,,0.0025446040090173483,,0.00010309992649126798,,,
1,109,,,,,,,,,,0.002483419142663479,0.0024840913247317076,6.7229530031909235e-06
1,109,,,,0.002608463866636157,,0.002621032064780593,,0.00012568126840051264,,,,
2,119,,,,,0.0028314513619989157,,0.002840694971382618,,9.24365158425644e-05,,,
2,129,,,,,0.002408778527751565,,0.002417578361928463,,8.799925853963941e-05,,,
2,139,,,,,0.0024268068373203278,,0.0024361649993807077,,9.358226088806987e-05,,,
2,149,,,,,0.0024106353521347046,,0.002418110379949212,,7.475023448932916e-05,,,
2,159,,,,,0.002502844203263521,,0.0025116445031017065,,8.800336217973381e-05,,,
2,164,,,,,,,,,,0.0024829767644405365,0.0024837274104356766,7.506147539970698e-06
2,164,,,,0.002566597191616893,,0.002575573045760393,,8.97590653039515e-05,,,,
3,169,,,,,0.002589378971606493,,0.0025961152277886868,,6.736256182193756e-05,,,
3,179,,,,,0.002576722064986825,,0.002583206631243229,,6.484464392997324e-05,,,
3,189,,,,,0.0027034024242311716,,0.002710544504225254,,7.142177491914481e-05,,,
3,199,,,,,0.0026166760362684727,,0.0026216800324618816,,5.003965270589106e-05,,,
3,209,,,,,0.0024870592169463634,,0.0024927982594817877,,5.739008338423446e-05,,,
3,219,,,,,0.002551337005570531,,0.002557640429586172,,6.303383270278573e-05,,,
3,219,,,,,,,,,,0.0024823693092912436,0.0024830251932144165,6.5610820456640795e-06
3,219,,,,0.0025390407536178827,,0.0025458112359046936,,6.769784522475675e-05,,,,
4,229,,,,,0.002587083959951997,,0.002592501463368535,,5.417541615315713e-05,,,
4,239,,,,,0.0025047040544450283,,0.0025098773185163736,,5.173365934751928e-05,,,
4,249,,,,,0.0024853195063769817,,0.0024908853229135275,,5.565857281908393e-05,,,
4,259,,,,,0.0023458630312234163,,0.0023501922842115164,,4.3292973714414984e-05,,,
4,269,,,,,0.0024806333240121603,,0.0024861034471541643,,5.470010364660993e-05,,,
4,274,,,,,,,,,,0.0024835674557834864,0.0024844647850841284,8.974271622719243e-06
4,274,,,,0.002536432584747672,,0.0025419730227440596,,5.540087295230478e-05,,,,
5,279,,,,,0.0024264357052743435,,0.00243173073977232,,5.294957009027712e-05,,,
5,289,,,,,0.002560140797868371,,0.002564738504588604,,4.59777147625573e-05,,,
5,299,,,,,0.002313271863386035,,0.002318301238119602,,5.029332169215195e-05,,,
5,309,,,,,0.0024223329965025187,,0.0024268392007797956,,4.5062683057039976e-05,,,
5,319,,,,,0.002598388586193323,,0.0026020619552582502,,3.673261380754411e-05,,,
5,329,,,,,0.002231940161436796,,0.002236683387309313,,4.743293902720325e-05,,,
5,329,,,,,,,,,,0.0024871842470020056,0.0024883418809622526,1.1577240911719855e-05
5,329,,,,0.0025185933336615562,,0.002523119328543544,,4.525590702542104e-05,,,,
6,339,,,,,0.0025845642667263746,,0.002588342409580946,,3.77811593352817e-05,,,
6,349,,,,,0.002550812205299735,,0.0025543023366481066,,3.490069502731785e-05,,,
6,359,,,,,0.002493487671017647,,0.0024971107486635447,,3.623065640567802e-05,,,
6,369,,,,,0.0023675791453570127,,0.002371374052017927,,3.7949885154375806e-05,,,
6,379,,,,,0.00256552966311574,,0.002568719210103154,,3.1896401196718216e-05,,,
6,384,,,,,,,,,,0.002484367461875081,0.0024850524496287107,6.847593340353342e-06
6,384,,,,0.0025076877791434526,,0.0025114277377724648,,3.7402467569336295e-05,,,,
7,389,,,,,0.002435983857139945,,0.002439698437228799,,3.714473496074788e-05,,,
7,399,,,,,0.0025323256850242615,,0.0025358390994369984,,3.513530464260839e-05,,,
7,409,,,,,0.0027394427452236414,,0.002743297955021262,,3.855161412502639e-05,,,
7,419,,,,,0.0025455541908740997,,0.0025483279023319483,,2.7736065021599643e-05,,,
7,429,,,,,0.0025436016730964184,,0.0025463399942964315,,2.7382297048461623e-05,,,
7,439,,,,,0.002639621961861849,,0.002643102779984474,,3.4808235795935616e-05,,,
7,439,,,,,,,,,,0.0024860608391463757,0.0024870880879461765,1.027232974593062e-05
7,439,,,,0.0025055366568267345,,0.0025088114198297262,,3.274516711826436e-05,,,,
8,449,,,,,0.002382420003414154,,0.002385505009442568,,3.085107891820371e-05,,,
8,459,,,,,0.002593505661934614,,0.002596117090433836,,2.611450690892525e-05,,,
8,469,,,,,0.0025714801158756018,,0.002574005862697959,,2.5257057131966576e-05,,,
8,479,,,,,0.002570487791672349,,0.002573240315541625,,2.7526302801561542e-05,,,
8,489,,,,,0.0023440762888640165,,0.002347094938158989,,3.0186000003595836e-05,,,
8,494,,,,,,,,,,0.002483098767697811,0.00248354347422719,4.448370418685954e-06
8,494,,,,0.002503087976947427,,0.002505939919501543,,2.8517713872133754e-05,,,,
9,499,,,,,0.0025203910190612078,,0.00252301967702806,,2.6287734726793133e-05,,,
9,509,,,,,0.0024451599456369877,,0.0024480840656906366,,2.9240060030133463e-05,,,
9,519,,,,,0.0025209372397512197,,0.0025238206144422293,,2.883476008719299e-05,,,
9,529,,,,,0.0024505597539246082,,0.0024531197268515825,,2.5600822482374497e-05,,,
9,539,,,,,0.0024181290064007044,,0.002420040313154459,,1.9112922018393874e-05,,,
9,549,,,,,0.002472185529768467,,0.0024739799555391073,,1.7944745195563883e-05,,,
9,549,,,,,,,,,,0.0024776991922408342,0.0024779208470135927,2.2166323105921037e-06
9,549,,,,0.0024998418521136045,,0.0025023475755006075,,2.5059554900508374e-05,,,,
10,559,,,,,0.002449817955493927,,0.0024519949220120907,,2.1768801161670126e-05,,,
10,569,,,,,0.0024327633436769247,,0.0024351347237825394,,2.371272239543032e-05,,,
10,579,,,,,0.002462500473484397,,0.00246432120911777,,1.820624129322823e-05,,,
10,589,,,,,0.0025004323106259108,,0.0025023785419762135,,1.946339034475386e-05,,,
10,599,,,,,0.002390006324276328,,0.002392127411440015,,2.121120269293897e-05,,,
10,604,,,,,,,,,,0.002479703864082694,0.0024802417028695345,5.377276920626173e-06
10,604,,,,0.0024947000201791525,,0.0024968108627945185,,2.1100158846820705e-05,,,,
11,609,,,,,0.002557655330747366,,0.0025601419620215893,,2.486670382495504e-05,,,
11,619,,,,,0.002525463467463851,,0.0025275400839746,,2.0766752641065978e-05,,,
11,629,,,,,0.0024619309697300196,,0.002464279532432556,,2.3486603822675534e-05,,,
11,639,,,,,0.0026181526482105255,,0.002620249055325985,,2.0964662326150574e-05,,,
11,649,,,,,0.002542611677199602,,0.0025441967882215977,,1.5850582713028416e-05,,,
11,659,,,,,0.002525390824303031,,0.0025268346071243286,,1.4437344361795112e-05,,,
11,659,,,,,,,,,,0.0024804635904729366,0.0024809667374938726,5.037668870500056e-06
11,659,,,,0.0024941451847553253,,0.002496102126315236,,1.957427775778342e-05,,,,
12,669,,,,,0.002271161647513509,,0.0022732324432581663,,2.0707013391074724e-05,,,
12,679,,,,,0.002416985109448433,,0.002419091761112213,,2.1066798581159674e-05,,,
12,689,,,,,0.0024898929987102747,,0.0024920508731156588,,2.1577592633548193e-05,,,
12,699,,,,,0.0023710632231086493,,0.0023728786036372185,,1.8152799384552054e-05,,,
12,709,,,,,0.0025250979233533144,,0.002527161268517375,,2.0632856831070967e-05,,,
12,714,,,,,,,,,,0.0024858664255589247,0.0024868485052138567,9.822834726946894e-06
12,714,,,,0.0024941859301179647,,0.0024961174931377172,,1.9317732949275523e-05,,,,
13,719,,,,,0.002397159580141306,,0.0023989977780729532,,1.8381208064965904e-05,,,
13,729,,,,,0.0026582032442092896,,0.002659579971805215,,1.3768051758233923e-05,,,
13,739,,,,,0.002602163702249527,,0.002604540903121233,,2.377116834395565e-05,,,
13,749,,,,,0.0024723343085497618,,0.0024738614447414875,,1.5272169548552483e-05,,,
13,759,,,,,0.0025930709671229124,,0.002594721969217062,,1.6510393834323622e-05,,,
13,769,,,,,0.0024666907265782356,,0.00246829679235816,,1.606097248441074e-05,,,
13,769,,,,,,,,,,0.002477501519024372,0.0024780454114079475,5.4385432122217026e-06
13,769,,,,0.002489149570465088,,0.0024909330531954765,,1.782869549060706e-05,,,,
14,779,,,,,0.002366224769502878,,0.0023678825236856937,,1.657800930843223e-05,,,
14,789,,,,,0.002755460562184453,,0.0027571688406169415,,1.7082411432056688e-05,,,
14,799,,,,,0.0024440917186439037,,0.0024454391095787287,,1.3473594663082622e-05,,,
14,809,,,,,0.002468488644808531,,0.0024696907494217157,,1.202199018734973e-05,,,
14,819,,,,,0.0025013003032654524,,0.0025026954244822264,,1.3951136679679621e-05,,,
14,824,,,,,,,,,,0.002480461960658431,0.0024808193556964397,3.5738846690946957e-06
14,824,,,,0.00248705199919641,,0.002488507889211178,,1.4556857422576286e-05,,,,
15,829,,,,,0.002410853048786521,,0.0024119240697473288,,1.0711007234931458e-05,,,
15,839,,,,,0.00246049533598125,,0.002461995929479599,,1.5004932720330544e-05,,,
15,849,,,,,0.002416277304291725,,0.0024178444873541594,,1.567186336615123e-05,,,
15,859,,,,,0.0025753825902938843,,0.002576646860688925,,1.2643167792703025e-05,,,
15,869,,,,,0.00251384312286973,,0.0025151234585791826,,1.2802762284991331e-05,,,
15,879,,,,,0.0025075406301766634,,0.0025089792907238007,,1.4387333067134023e-05,,,
15,879,,,,,,,,,,0.0024842461571097374,0.0024851339403539896,8.876249012246262e-06
15,879,,,,0.0024847136810421944,,0.002486089477315545,,1.3753550774708856e-05,,,,
16,889,,,,,0.0026840425562113523,,0.002685445360839367,,1.4028278201294597e-05,,,
16,899,,,,,0.002591825323179364,,0.00259397947229445,,2.1541300156968646e-05,,,
16,909,,,,,0.0023565958254039288,,0.0023580004926770926,,1.4046257092559244e-05,,,
16,919,,,,,0.0025030020624399185,,0.002504369243979454,,1.3672329259861726e-05,,,
16,929,,,,,0.002443123608827591,,0.0024449024349451065,,1.7787819160730578e-05,,,
16,934,,,,,,,,,,0.0024770013988018036,0.0024774072226136923,4.056451416545315e-06
16,934,,,,0.0024888773914426565,,0.002490478567779064,,1.601349504198879e-05,,,,
17,939,,,,,0.002395074814558029,,0.0023961192928254604,,1.0445635780342855e-05,,,
17,949,,,,,0.0024781201500445604,,0.002479472430422902,,1.3523916095437016e-05,,,
17,959,,,,,0.0027632771525532007,,0.0027643011417239904,,1.023991899273824e-05,,,
17,969,,,,,0.002378250937908888,,0.0023793240543454885,,1.0730093890742864e-05,,,
17,979,,,,,0.0024228792171925306,,0.002423891332000494,,1.0120643310074229e-05,,,
17,989,,,,,0.0024508375208824873,,0.0024516996927559376,,8.622108907729853e-06,,,
17,989,,,,,,,,,,0.0024798675440251827,0.0024801804684102535,3.126236833850271e-06
17,989,,,,0.0024867537431418896,,0.002487871330231428,,1.1175745385116898e-05,,,,
18,999,,,,,0.002559096086770296,,0.0025601161178201437,,1.0199578355241101e-05,,,
18,1009,,,,,0.0024102095048874617,,0.0024114639963954687,,1.2544601304398384e-05,,,
18,1019,,,,,0.0024276277981698513,,0.0024285337422043085,,9.060529919224791e-06,,,
18,1029,,,,,0.002458325820043683,,0.0024592739064246416,,9.48183787841117e-06,,,
18,1039,,,,,0.002430951688438654,,0.002431830856949091,,8.792113476374652e-06,,,
18,1044,,,,,,,,,,0.0024809245951473713,0.0024816265795379877,7.015893061179668e-06
18,1044,,,,0.00248325290158391,,0.0024842931888997555,,1.040230654325569e-05,,,,
19,1049,,,,,0.002568098483607173,,0.002568910364061594,,8.11928475741297e-06,,,
19,1059,,,,,0.0026629981584846973,,0.0026641632430255413,,1.1650311535049696e-05,,,
19,1069,,,,,0.0023969148751348257,,0.002397852251306176,,9.374291039421223e-06,,,
19,1079,,,,,0.0025115981698036194,,0.0025126589462161064,,1.06088409665972e-05,,,
19,1089,,,,,0.0022975727915763855,,0.002298365579918027,,7.927393198770005e-06,,,
19,1099,,,,,0.002432913752272725,,0.0024341014213860035,,1.1876190910697915e-05,,,
19,1099,,,,,,,,,,0.0024813557974994183,0.002482058946043253,7.028742402326316e-06
19,1099,,,,0.002482707379385829,,0.002483709715306759,,1.0023057257058099e-05,,,,
20,1109,,,,,0.0023455764167010784,,0.0023466143757104874,,1.0378736988059245e-05,,,
20,1119,,,,,0.0024787236470729113,,0.002479564631357789,,8.410757800447755e-06,,,
20,1129,,,,,0.00243037729524076,,0.002431398257613182,,1.021066327666631e-05,,,
20,1139,,,,,0.0022195649798959494,,0.002220482099801302,,9.172242243948858e-06,,,
20,1149,,,,,0.002439818112179637,,0.0024406546726822853,,8.364580025954638e-06,,,
20,1154,,,,,,,,,,0.0024832994677126408,0.0024841907434165478,8.911995792004745e-06
20,1154,,,,0.0024821972474455833,,0.0024831444025039673,,9.471430530538782e-06,,,,
21,1159,,,,,0.0024816712830215693,,0.002482558833435178,,8.876369975041598e-06,,,
21,1169,,,,,0.0024433950893580914,,0.0024443953298032284,,1.0002020644606091e-05,,,
21,1179,,,,,0.0025497679598629475,,0.002550683217123151,,9.151423000730574e-06,,,
21,1189,,,,,0.0025345091708004475,,0.002535620704293251,,1.1116084351669997e-05,,,
21,1199,,,,,0.0025472582783550024,,0.002548465272411704,,1.2071103810740169e-05,,,
21,1209,,,,,0.0023059449158608913,,0.002307785674929619,,1.8408460164209828e-05,,,
21,1209,,,,,,,,,,0.002485403325408697,0.002486783778294921,1.3808944459015038e-05
21,1209,,,,0.002480915514752269,,0.0024819127283990383,,9.972207408281974e-06,,,,
22,1219,,,,,0.0026826560497283936,,0.0026833429001271725,,6.869441676826682e-06,,,
22,1229,,,,,0.002575164893642068,,0.0025764417368918657,,1.2769106433552224e-05,,,
22,1239,,,,,0.002337425947189331,,0.0023383626248687506,,9.366377526021097e-06,,,
22,1249,,,,,0.0024548093788325787,,0.0024567926302552223,,1.9832397811114788e-05,,,
22,1259,,,,,0.0025014483835548162,,0.002502606250345707,,1.1579802048800047e-05,,,
22,1264,,,,,,,,,,0.0024801883846521378,0.0024807422887533903,5.53746713194414e-06
22,1264,,,,0.002482221694663167,,0.002483249641954899,,1.0281176400894765e-05,,,,
23,1269,,,,,0.002474885666742921,,0.0024763497058302164,,1.4640831977885682e-05,,,
23,1279,,,,,0.0024004727602005005,,0.002401406643912196,,9.337875781056937e-06,,,
23,1289,,,,,0.0025658379308879375,,0.0025669997557997704,,1.161877480626572e-05,,,
23,1299,,,,,0.0025269705802202225,,0.002527766628190875,,7.961457413330209e-06,,,
23,1309,,,,,0.0024102518800646067,,0.0024115806445479393,,1.3287972251418978e-05,,,
23,1319,,,,,0.0024294655304402113,,0.002430427586659789,,9.620025593903847e-06,,,
23,1319,,,,,,,,,,0.0024826049339026213,0.002483112271875143,5.072907697467599e-06
23,1319,,,,0.00248007383197546,,0.002481065457686782,,9.916434464685153e-06,,,,
24,1329,,,,,0.0026389288250356913,,0.002640040125697851,,1.1113697837572545e-05,,,
24,1339,,,,,0.0024037626571953297,,0.0024044374004006386,,6.747912266291678e-06,,,
24,1349,,,,,0.002388617256656289,,0.002389303408563137,,6.862217105663149e-06,,,
24,1359,,,,,0.002544581424444914,,0.002545146970078349,,5.654405413224595e-06,,,
24,1369,,,,,0.002174889435991645,,0.002175492001697421,,6.0252828006923664e-06,,,
24,1374,,,,,,,,,,0.002478810725733638,0.002479279413819313,4.6880832087481394e-06
24,1374,,,,0.0024820524267852306,,0.002482802141457796,,7.500247647840297e-06,,,,
25,1379,,,,,0.0024828421883285046,,0.0024839197285473347,,1.0774702786875423e-05,,,
25,1389,,,,,0.002372168004512787,,0.002373178955167532,,1.0108859896718059e-05,,,
25,1399,,,,,0.002431111177429557,,0.0024321642704308033,,1.053010782925412e-05,,,
25,1409,,,,,0.002376135438680649,,0.0023767375387251377,,6.02180125497398e-06,,,
25,1419,,,,,0.002415769500657916,,0.0024170749820768833,,1.3054411283519585e-05,,,
25,1429,,,,,0.0024841385893523693,,0.0024848836474120617,,7.4506151577224955e-06,,,
25,1429,,,,,,,,,,0.002480877796187997,0.002481416566297412,5.387107648857636e-06
25,1429,,,,0.0024792253971099854,,0.002480229828506708,,1.0048378499050159e-05,,,,
26,1439,,,,,0.0024672583676874638,,0.002468171762302518,,9.132955710811075e-06,,,
26,1449,,,,,0.0024142179172486067,,0.002414979971945286,,7.621102213306585e-06,,,
26,1459,,,,,0.0024656408932060003,,0.0024664110969752073,,7.702754373895004e-06,,,
26,1469,,,,,0.00252904393710196,,0.0025295941159129143,,5.5021196203597356e-06,,,
26,1479,,,,,0.002624610671773553,,0.0026254351250827312,,8.244403943535872e-06,,,
26,1484,,,,,,,,,,0.0024786749854683876,0.0024790961761027575,4.2166211642324924e-06
26,1484,,,,0.0024771580938249826,,0.0024779015220701694,,7.426967385981698e-06,,,,
27,1489,,,,,0.002280260669067502,,0.002280977787449956,,7.172207006078679e-06,,,
27,1499,,,,,0.002184824552386999,,0.0021856988314539194,,8.742381396587007e-06,,,
27,1509,,,,,0.0026151074562221766,,0.0026159307453781366,,8.23384016257478e-06,,,
27,1519,,,,,0.0024286452680826187,,0.0024293411988765,,6.959151050978107e-06,,,
27,1529,,,,,0.002488835481926799,,0.002489673439413309,,8.378425263799727e-06,,,
27,1539,,,,,0.0022603522520512342,,0.0022612381726503372,,8.858521141519304e-06,,,
27,1539,,,,,,,,,,0.002484012395143509,0.0024847215972840786,7.089814971550368e-06
27,1539,,,,0.0024785713758319616,,0.0024793914053589106,,8.198235263989773e-06,,,,
28,1549,,,,,0.002465458819642663,,0.0024660592898726463,,6.003939688525861e-06,,,
28,1559,,,,,0.002493782201781869,,0.002494438784196973,,6.566066531377146e-06,,,
28,1569,,,,,0.002433297922834754,,0.002433858811855316,,5.609840627585072e-06,,,
28,1579,,,,,0.002372331451624632,,0.002373181749135256,,8.50351989356568e-06,,,
28,1589,,,,,0.0025469555985182524,,0.0025475246366113424,,5.691392743756296e-06,,,
28,1594,,,,,,,,,,0.002478198613971472,0.0024785862769931555,3.879680207319325e-06
28,1594,,,,0.002475685440003872,,0.0024763464462012053,,6.616045993723674e-06,,,,
29,1599,,,,,0.00244548125192523,,0.0024461483117192984,,6.6704551500151865e-06,,,
29,1609,,,,,0.0024415533989667892,,0.00244206958450377,,5.160841283213813e-06,,,
29,1619,,,,,0.0024116034619510174,,0.0024120970629155636,,4.936176992487162e-06,,,
29,1629,,,,,0.002517137909308076,,0.0025177793577313423,,6.415274128812598e-06,,,
29,1639,,,,,0.0023160730488598347,,0.002317019272595644,,9.462812158744782e-06,,,
29,1649,,,,,0.0027615700382739305,,0.002762154210358858,,5.841451184096513e-06,,,
29,1649,,,,,,,,,,0.0024795832578092813,0.0024799734819680452,3.899315288435901e-06
29,1649,,,,0.0024743159301579,,0.002474921988323331,,6.0670822676911484e-06,,,,
30,1659,,,,,0.0024452258367091417,,0.002445864723995328,,6.388325800799066e-06,,,
30,1669,,,,,0.0023286340292543173,,0.0023293267004191875,,6.92722369421972e-06,,,
30,1679,,,,,0.002381211146712303,,0.002381874481216073,,6.634006240346935e-06,,,
30,1689,,,,,0.002495067659765482,,0.0024956953711807728,,6.27657800578163e-06,,,
30,1699,,,,,0.0024130705278366804,,0.0024138186126947403,,7.481593456759583e-06,,,
30,1704,,,,,,,,,,0.002480205148458481,0.002480632159858942,4.2694873627624474e-06
30,1704,,,,0.002474468667060137,,0.0024751159362494946,,6.474741894635372e-06,,,,
31,1709,,,,,0.0026625830214470625,,0.002663196297362447,,6.131999271019595e-06,,,
31,1719,,,,,0.0024580974131822586,,0.0024589302483946085,,8.327863724844065e-06,,,
31,1729,,,,,0.0024802894331514835,,0.002481029601767659,,7.402360097330529e-06,,,
31,1739,,,,,0.002477027475833893,,0.0024776447098702192,,6.172912435431499e-06,,,
31,1749,,,,,0.002464024815708399,,0.00246481248177588,,7.876339623180684e-06,,,
31,1759,,,,,0.00242197816260159,,0.002422924153506756,,9.458913154958282e-06,,,
31,1759,,,,,,,,,,0.0024838722310960293,0.002484803320840001,9.308827429777011e-06
31,1759,,,,0.002475050278007984,,0.00247579300776124,,7.427950549754314e-06,,,,
32,1769,,,,,0.0024597456213086843,,0.002460550982505083,,8.053327292145696e-06,,,
32,1779,,,,,0.002278969157487154,,0.0022797046694904566,,7.354470199061325e-06,,,
32,1789,,,,,0.0026107225567102432,,0.0026113141793757677,,5.9155527196708135e-06,,,
32,1799,,,,,0.0026683774776756763,,0.002669189590960741,,8.120752681861632e-06,,,
32,1809,,,,,0.00239810929633677,,0.0023988366592675447,,7.274331892404007e-06,,,
32,1814,,,,,,,,,,0.002477868925780058,0.002478377427905798,5.083745236333925e-06
32,1814,,,,0.002473880536854267,,0.0024746600538492203,,7.794134035066236e-06,,,,
33,1819,,,,,0.002919910242781043,,0.0029206275939941406,,7.172967798396712e-06,,,
33,1829,,,,,0.002361567225307226,,0.002362320199608803,,7.528813966928283e-06,,,
33,1839,,,,,0.0025360393337905407,,0.0025367578491568565,,7.184855803643586e-06,,,
33,1849,,,,,0.0024448896292597055,,0.00244546914473176,,5.794178832729813e-06,,,
33,1859,,,,,0.0025315831881016493,,0.0025324360467493534,,8.529254955647048e-06,,,
33,1869,,,,,0.002406447660177946,,0.0024073615204542875,,9.13946860237047e-06,,,
33,1869,,,,,,,,,,0.0024799031671136618,0.002480562776327133,6.594353635591688e-06
33,1869,,,,0.0024741790257394314,,0.002474887063726783,,7.084193384798709e-06,,,,
34,1879,,,,,0.0026143272407352924,,0.0026149514596909285,,6.243307325348724e-06,,,
34,1889,,,,,0.0024343018885701895,,0.0024349489249289036,,6.469555046351161e-06,,,
34,1899,,,,,0.002479318995028734,,0.0024800975807011127,,7.786239621054847e-06,,,
34,1909,,,,,0.002362887840718031,,0.002363873180001974,,9.854403288045432e-06,,,
34,1919,,,,,0.002788582583889365,,0.0027894151862710714,,8.325762792082969e-06,,,
34,1924,,,,,,,,,,0.002482861978933215,0.0024834813084453344,6.1917876337247435e-06
34,1924,,,,0.0024746388662606478,,0.0024754235055297613,,7.849711437302176e-06,,,,
35,1929,,,,,0.002483269665390253,,0.0024840591941028833,,7.896066563262139e-06,,,
35,1939,,,,,0.0023918715305626392,,0.002392631024122238,,7.595602255605627e-06,,,
35,1949,,,,,0.00227451347745955,,0.0022752026561647654,,6.89282296661986e-06,,,
35,1959,,,,,0.002181966556236148,,0.002182774245738983,,8.076420272118412e-06,,,
35,1969,,,,,0.002600032137706876,,0.002600671024993062,,6.389708232745761e-06,,,
35,1979,,,,,0.0023787280078977346,,0.002379346638917923,,6.186066912050592e-06,,,
35,1979,,,,,,,,,,0.002478971378877759,0.0024794582277536392,4.872120825893944e-06
35,1979,,,,0.0024747622665017843,,0.0024754805490374565,,7.180018201324856e-06,,,,
36,1989,,,,,0.0024725820403546095,,0.002473370870575309,,7.887855645094533e-06,,,
36,1999,,,,,0.002510740887373686,,0.0025113483425229788,,6.075520104786847e-06,,,
36,2009,,,,,0.0025690835900604725,,0.002569769509136677,,6.860148005216615e-06,,,
36,2019,,,,,0.0024661163333803415,,0.0024669147096574306,,7.982822353369556e-06,,,
36,2029,,,,,0.00252876547165215,,0.0025294353254139423,,6.69780956741306e-06,,,
36,2034,,,,,,,,,,0.002480603288859129,0.0024811618495732546,5.586730367213022e-06
36,2034,,,,0.002473346656188369,,0.0024740551598370075,,7.07795061316574e-06,,,,
37,2035,0.002507415832951665,0.0025079709012061357,5.5484456424892414e-06,,,,,,,,,
